
SPEAKER 1	0:00:00	0:00:38
SPEAKER 2	0:00:40	0:01:51
SPEAKER 1	0:01:54	0:02:21
SPEAKER 2	0:02:23	0:03:27
SPEAKER 1	0:03:27	0:03:29
SPEAKER 2	0:03:29	0:03:39
SPEAKER 1	0:03:39	0:04:00
SPEAKER 2	0:04:00	0:04:11
SPEAKER 1	0:04:11	0:04:13
SPEAKER 2	0:04:13	0:04:49
SPEAKER 1	0:04:50	0:05:47
SPEAKER 2	0:05:47	0:05:48
SPEAKER 1	0:05:48	0:05:50
SPEAKER 2	0:05:50	0:05:54
SPEAKER 1	0:05:54	0:05:56
SPEAKER 2	0:05:56	0:06:01
SPEAKER 1	0:06:01	0:06:04
SPEAKER 2	0:06:04	0:06:25
SPEAKER 1	0:06:25	0:06:26
SPEAKER 2	0:06:26	0:06:27
SPEAKER 1	0:06:27	0:06:28
SPEAKER 2	0:06:28	0:06:32
SPEAKER 1	0:06:32	0:06:34
SPEAKER 2	0:06:34	0:06:35
SPEAKER 1	0:06:35	0:06:36
SPEAKER 2	0:06:36	0:06:39
SPEAKER 1	0:06:39	0:06:40
SPEAKER 2	0:06:40	0:06:45
SPEAKER 1	0:06:45	0:06:46
SPEAKER 2	0:06:46	0:06:49
SPEAKER 1	0:06:49	0:06:50
SPEAKER 2	0:06:50	0:06:52
SPEAKER 1	0:06:52	0:06:53
SPEAKER 2	0:06:53	0:06:56
SPEAKER 1	0:06:56	0:06:57
SPEAKER 2	0:06:57	0:06:59
SPEAKER 1	0:06:59	0:07:00
SPEAKER 2	0:07:00	0:07:10
SPEAKER 1	0:07:10	0:07:11
SPEAKER 2	0:07:11	0:07:13
SPEAKER 1	0:07:13	0:07:14
SPEAKER 2	0:07:14	0:07:17
SPEAKER 1	0:07:17	0:07:45
SPEAKER 2	0:07:45	0:07:53
SPEAKER 1	0:07:53	0:07:54
SPEAKER 2	0:07:54	0:08:01
SPEAKER 1	0:08:01	0:08:02
SPEAKER 2	0:08:02	0:08:09
SPEAKER 1	0:08:09	0:08:11
SPEAKER 2	0:08:11	0:08:33
SPEAKER 1	0:08:33	0:08:36
SPEAKER 2	0:08:36	0:09:04
SPEAKER 1	0:09:04	0:10:09
SPEAKER 2	0:10:10	0:10:44
SPEAKER 1	0:10:44	0:10:45
SPEAKER 2	0:10:46	0:11:20
SPEAKER 1	0:11:22	0:11:51
SPEAKER 2	0:11:54	0:12:14
SPEAKER 1	0:12:14	0:12:16
SPEAKER 2	0:12:16	0:12:44
SPEAKER 1	0:12:44	0:12:44
SPEAKER 2	0:12:44	0:13:07
SPEAKER 1	0:13:07	0:13:08
SPEAKER 2	0:13:08	0:13:33
SPEAKER 1	0:13:33	0:13:49
SPEAKER 2	0:13:53	0:13:55
SPEAKER 1	0:13:55	0:13:57
SPEAKER 2	0:13:57	0:14:01
SPEAKER 1	0:14:01	0:14:03
SPEAKER 2	0:14:03	0:14:25
SPEAKER 1	0:14:25	0:14:26
SPEAKER 2	0:14:26	0:14:35
SPEAKER 1	0:14:35	0:14:36
SPEAKER 2	0:14:36	0:15:34
SPEAKER 1	0:15:34	0:15:36
SPEAKER 2	0:15:36	0:15:39
SPEAKER 1	0:15:40	0:16:22
SPEAKER 2	0:16:24	0:16:28
SPEAKER 1	0:16:28	0:16:29
SPEAKER 2	0:16:32	0:17:00
SPEAKER 1	0:17:01	0:17:02
SPEAKER 2	0:17:02	0:17:27
SPEAKER 1	0:17:27	0:17:28
SPEAKER 2	0:17:29	0:17:34
SPEAKER 1	0:17:36	0:17:36
SPEAKER 2	0:17:37	0:18:06
SPEAKER 1	0:18:07	0:18:32
SPEAKER 2	0:18:33	0:19:33
SPEAKER 1	0:19:38	0:20:08
SPEAKER 2	0:20:08	0:20:10
SPEAKER 1	0:20:10	0:20:12
SPEAKER 2	0:20:12	0:20:40
SPEAKER 1	0:20:40	0:20:42
SPEAKER 2	0:20:42	0:21:09
SPEAKER 1	0:21:09	0:21:10
SPEAKER 2	0:21:10	0:21:28
SPEAKER 1	0:21:36	0:21:38
SPEAKER 2	0:21:38	0:21:39
SPEAKER 1	0:21:39	0:21:44
